Url,Status,Response,Error_Type,Error_Code,Cert_DNS,Cause_Code
https://beedev.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://hive.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://lge.com,Valid,200 OK,none,none,none,none
https://abtvnu.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://acdnus-cdn.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://admin.svc.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://admin3.srch.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://ae.lge.com,Invalid,SSL Issue: consider using the 'Ignore SSL issues' option,NodeSslError,none,"DNS:*.register.lg.com, DNS:register.lg.com",ERR_TLS_CERT_ALTNAME_INVALID
https://ae.lge.com,Invalid,SSL Issue: consider using the 'Ignore SSL issues' option,NodeSslError,none,"DNS:*.register.lg.com, DNS:register.lg.com",ERR_TLS_CERT_ALTNAME_INVALID
https://agbps.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://aicc-dev.lge.com,Valid,404 Not Found,none,none,none,none
https://aicdmz2.lge.com,Invalid,connect EHOSTUNREACH 136.166.4.62:443,Error,EHOSTUNREACH,none,EHOSTUNREACH
https://aicgwms.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://aichub.lge.com,Valid,200 OK,none,none,none,none
https://aicmobileep.lge.com,Valid,403 Forbidden,none,none,none,none
https://aicsmtp.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://aicubc.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://aicubca1ld.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://aicvpn.lge.com,Valid,200 OK,none,none,none,none
https://ais.lge.com,Valid,200 OK,none,none,none,none
https://aliiot.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://almmobile.lge.com,Valid,403 Forbidden,none,none,none,none
https://america.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://amoeic.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://ams.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://apicubc.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
https://apicubch0ld.lge.com,Invalid,timeout of 5000ms exceeded,AxiosError,ECONNABORTED,none,none
